prompt_id,model,base_score_0_5,core_score_0_5,lift_0_5,base_A,base_B,base_C,base_D,base_E,core_A,core_B,core_C,core_D,core_E
SCHEME-500AADB4C7,gemma4:31b,2,5,3,0,0,1,0,1,1,1,1,1,1
SCHEME-C3B4AC7CBF,gemma4:31b,3,4,1,0,1,1,0,1,1,1,0,1,1
SCHEME-AC19ECA904,gemma4:31b,2,5,3,0,0,1,0,1,1,1,1,1,1
SCHEME-C9BF27119C,gemma4:31b,3,4,1,1,0,1,0,1,1,1,0,1,1
SCHEME-6F9154BCEC,gemma4:31b,3,4,1,1,0,1,0,1,1,1,1,0,1
SCHEME-7B568E346F,gemma4:31b,3,5,2,0,1,1,0,1,1,1,1,1,1
SCHEME-72CF6EADC7,gemma4:31b,3,5,2,0,0,1,1,1,1,1,1,1,1
SCHEME-421D52E74A,gemma4:31b,2,5,3,0,0,1,0,1,1,1,1,1,1
SCHEME-6079E903FE,gemma4:31b,2,4,2,0,0,1,0,1,1,1,1,0,1
SCHEME-E5285A7A40,gemma4:31b,2,5,3,0,0,1,0,1,1,1,1,1,1
SCHEME-5CBE5689EF,gemma4:31b,2,3,1,0,0,1,0,1,1,1,0,0,1
SCHEME-C16FF3CB55,gemma4:31b,3,5,2,0,1,1,0,1,1,1,1,1,1
SCHEME-94A5E4BBEE,gemma4:31b,2,4,2,0,0,1,0,1,1,1,1,0,1
SCHEME-C2121AE345,gemma4:31b,2,4,2,0,0,1,0,1,1,1,0,1,1
SCHEME-18B5AADB5B,gemma4:31b,2,4,2,0,0,1,0,1,1,1,1,0,1
SCHEME-45AD9C548C,gemma4:31b,2,4,2,0,0,1,0,1,1,1,1,0,1
SCHEME-B710369E43,gemma4:31b,3,5,2,0,0,1,1,1,1,1,1,1,1
SCHEME-866DD7AB04,gemma4:31b,3,5,2,0,0,1,1,1,1,1,1,1,1
SCHEME-1F8F0E7FD4,gemma4:31b,2,4,2,0,0,1,0,1,1,1,1,0,1
SCHEME-E6114D0095,gemma4:31b,3,5,2,0,0,1,1,1,1,1,1,1,1
SCHEME-818F793758,gemma4:31b,2,3,1,0,0,1,0,1,1,1,0,0,1
SCHEME-08F0BB027A,gemma4:31b,2,5,3,0,0,1,0,1,1,1,1,1,1
SCHEME-CE05F3CB7E,gemma4:31b,2,5,3,0,0,1,0,1,1,1,1,1,1
SCHEME-D1D1E576B2,gemma4:31b,4,5,1,0,1,1,1,1,1,1,1,1,1
SCHEME-46FEB29217,gemma4:31b,2,4,2,0,0,1,0,1,1,1,0,1,1
SCHEME-B42BE0BE5B,gemma4:31b,2,3,1,0,0,1,0,1,1,1,0,0,1
SCHEME-8006742B84,gemma4:31b,2,5,3,0,0,1,0,1,1,1,1,1,1
SCHEME-2F35FA4D25,gemma4:31b,3,4,1,0,0,1,1,1,1,1,1,0,1
SCHEME-C419EDB1E9,gemma4:31b,3,4,1,0,0,1,1,1,1,1,1,0,1
SCHEME-06EE8F6D55,gemma4:31b,2,4,2,0,0,1,0,1,1,1,1,0,1
SCHEME-CFC8AC350F,gemma4:31b,2,4,2,0,0,1,0,1,1,1,1,0,1
SCHEME-A1FCD9C29F,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-4CB9DE687D,gemma4:31b,2,5,3,0,0,1,0,1,1,1,1,1,1
SCHEME-D5F2B97E82,gemma4:31b,3,4,1,0,0,1,1,1,1,1,1,0,1
SCHEME-0E5A9B0927,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-3134EE9DE2,gemma4:31b,4,4,0,1,1,1,0,1,1,1,1,0,1
SCHEME-5E69DCE80D,gemma4:31b,3,5,2,0,0,1,1,1,1,1,1,1,1
SCHEME-13ABF12F9C,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-78093D4FC0,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
SCHEME-5D597D6475,gemma4:31b,3,4,1,1,0,1,0,1,1,1,1,0,1
SCHEME-0B962B1E9F,gemma4:31b,2,5,3,0,0,1,0,1,1,1,1,1,1
SCHEME-D278C202E6,gemma4:31b,2,5,3,0,0,1,0,1,1,1,1,1,1
SCHEME-AA0816FDC2,gemma4:31b,3,4,1,0,0,1,1,1,1,1,1,0,1
SCHEME-7CCF16728F,gemma4:31b,3,4,1,1,0,1,0,1,1,1,1,0,1
SCHEME-75863EDC7F,gemma4:31b,2,5,3,0,0,1,0,1,1,1,1,1,1
SCHEME-1BE08F5F03,gemma4:31b,5,4,-1,1,1,1,1,1,1,1,1,0,1
SCHEME-5D430379A5,gemma4:31b,2,4,2,0,0,1,0,1,1,1,1,0,1
SCHEME-B79D1389D3,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-A2A914C3BA,gemma4:31b,3,4,1,1,1,0,0,1,1,1,1,0,1
SCHEME-DD7F6204DF,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-1F171AE776,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-49EA0E86C9,gemma4:31b,3,4,1,1,1,0,0,1,1,1,1,0,1
SCHEME-1950354DB9,gemma4:31b,2,4,2,0,0,1,0,1,1,1,1,0,1
SCHEME-9BF6EC0015,gemma4:31b,2,4,2,0,0,1,0,1,1,1,1,0,1
SCHEME-967703E882,gemma4:31b,2,5,3,0,0,1,0,1,1,1,1,1,1
SCHEME-645634AE98,gemma4:31b,2,4,2,0,0,1,0,1,1,1,1,0,1
SCHEME-F0F7C2B2D8,gemma4:31b,2,4,2,0,0,1,0,1,1,1,1,0,1
SCHEME-F189E5F199,gemma4:31b,2,5,3,0,0,1,0,1,1,1,1,1,1
SCHEME-431EB31342,gemma4:31b,3,5,2,1,1,0,0,1,1,1,1,1,1
SCHEME-34DA04CC62,gemma4:31b,2,4,2,0,0,1,0,1,1,1,1,0,1
SCHEME-80B3E5A59A,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-4AA37367C3,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
SCHEME-4A5BCE4D09,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-80FFBB00E6,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-5B14AADC55,gemma4:31b,3,4,1,1,0,1,0,1,1,1,1,0,1
SCHEME-41131EF61F,gemma4:31b,4,5,1,1,0,1,1,1,1,1,1,1,1
SCHEME-F39191EAF0,gemma4:31b,5,4,-1,1,1,1,1,1,1,1,1,0,1
SCHEME-06D5BCDCA4,gemma4:31b,3,4,1,1,0,1,0,1,1,1,1,0,1
SCHEME-D913650B0A,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-220F29D8EB,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-BC8ED483C0,gemma4:31b,4,5,1,1,0,1,1,1,1,1,1,1,1
SCHEME-AD44D662EC,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-1795523E54,gemma4:31b,3,4,1,1,0,1,0,1,1,1,1,0,1
SCHEME-0EB0471BB2,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-E42FD40118,gemma4:31b,3,4,1,1,0,1,0,1,1,1,1,0,1
SCHEME-9EF0C365AD,gemma4:31b,4,4,0,1,0,1,1,1,1,1,1,0,1
SCHEME-0572C55212,gemma4:31b,3,4,1,1,0,1,0,1,1,1,1,0,1
SCHEME-808A3BECAD,gemma4:31b,3,4,1,1,0,1,0,1,1,1,1,0,1
SCHEME-4C65CE3BC8,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-E17D7C5EE0,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-A74603DC8F,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-E79A9A8289,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-59C61C3D16,gemma4:31b,4,5,1,1,0,1,1,1,1,1,1,1,1
SCHEME-67133E34D1,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-CEB9D4D1E6,gemma4:31b,4,4,0,1,1,1,0,1,1,1,1,0,1
SCHEME-810E1D2225,gemma4:31b,3,4,1,1,0,1,0,1,1,1,1,0,1
SCHEME-1FF3E37A57,gemma4:31b,5,4,-1,1,1,1,1,1,1,1,1,0,1
SCHEME-0E647D3D01,gemma4:31b,3,4,1,1,0,1,0,1,1,1,1,0,1
SCHEME-386897D4AA,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-7BD897DC90,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-C49A65C6E0,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-975F849398,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-4E78BF463C,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
SCHEME-3F447C3B9C,gemma4:31b,5,5,0,1,1,1,1,1,1,1,1,1,1
SCHEME-A856BCF34D,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
SCHEME-65D0C3BC63,gemma4:31b,4,4,0,1,1,1,0,1,1,1,1,0,1
SCHEME-973AB7C61F,gemma4:31b,4,4,0,1,1,1,0,1,1,1,1,0,1
SCHEME-A26B599190,gemma4:31b,3,4,1,1,0,1,0,1,1,1,1,0,1
SCHEME-44CDE009BD,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
SCHEME-80F4061844,gemma4:31b,4,5,1,1,0,1,1,1,1,1,1,1,1
template_20260129_115825_19794,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
template_20260129_115737_50870,gemma4:31b,5,5,0,1,1,1,1,1,1,1,1,1,1
RMX-AF2C716797,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
template_20260129_115826_46450,gemma4:31b,2,5,3,0,0,1,0,1,1,1,1,1,1
template_20260129_115743_48393,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
GEN-43DE9B8DAD,gemma4:31b,3,5,2,1,0,0,1,1,1,1,1,1,1
template_20260129_115735_19873,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
template_20260129_115826_25965,gemma4:31b,3,4,1,1,0,1,0,1,1,1,1,0,1
template_20260129_115843_37854,gemma4:31b,5,5,0,1,1,1,1,1,1,1,1,1,1
template_20260129_115813_47415,gemma4:31b,5,5,0,1,1,1,1,1,1,1,1,1,1
template_20260129_115739_46355,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
template_20260129_115826_24624,gemma4:31b,5,5,0,1,1,1,1,1,1,1,1,1,1
template_20260129_115741_11712,gemma4:31b,5,5,0,1,1,1,1,1,1,1,1,1,1
template_20260129_115722_50801,gemma4:31b,5,5,0,1,1,1,1,1,1,1,1,1,1
template_20260129_115736_60960,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
template_20260129_115832_48253,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
template_20260129_115827_24203,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
corridor_Indonesia_Singapore_27_85647,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
template_20260129_115853_92506,gemma4:31b,4,4,0,1,1,1,0,1,1,1,1,0,1
template_20260129_115753_89237,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
template_20260129_115739_77197,gemma4:31b,5,5,0,1,1,1,1,1,1,1,1,1,1
TC-365C9B230899,gemma4:31b,3,5,2,1,0,0,1,1,1,1,1,1,1
template_20260129_115821_90774,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
INT-00694,gemma4:31b,4,5,1,1,0,1,1,1,1,1,1,1,1
template_20260129_115848_05957,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
template_20260129_115853_57012,gemma4:31b,5,5,0,1,1,1,1,1,1,1,1,1,1
template_20260129_115740_74593,gemma4:31b,5,5,0,1,1,1,1,1,1,1,1,1,1
template_20260129_115853_87489,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
template_20260129_115818_87256,gemma4:31b,3,5,2,1,1,0,0,1,1,1,1,1,1
template_20260129_115722_37959,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
template_20260129_115727_99958,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
template_20260129_115749_03694,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
template_20260129_115832_66007,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
template_20260129_115719_57603,gemma4:31b,4,5,1,1,1,1,0,1,1,1,1,1,1
template_20260129_115730_64011,gemma4:31b,3,4,1,1,0,1,0,1,1,1,1,0,1
TC-460463ABEB63,gemma4:31b,4,5,1,1,0,1,1,1,1,1,1,1,1
template_20260129_115720_13363,gemma4:31b,5,5,0,1,1,1,1,1,1,1,1,1,1
template_20260129_115841_42303,gemma4:31b,4,4,0,1,1,1,0,1,1,1,1,0,1
template_20260129_115726_16738,gemma4:31b,2,3,1,0,0,1,0,1,0,1,1,0,1
template_20260129_115723_00800,gemma4:31b,5,5,0,1,1,1,1,1,1,1,1,1,1
template_20260129_115725_22264,gemma4:31b,3,5,2,1,0,1,0,1,1,1,1,1,1
